order_id,user_id,restaurant_id,order_date,order_amount,name,city,membership,restaurant_name,cuisine,rating,order_month,order_year,order_day,order_value_band,user_order_count,loyalty_group
1,2508,450,2023-02-18,842.97,User_2508,Hyderabad,Regular,Restaurant_450,Mexican,3.2,2,2023,Saturday,High Spend,3,Returning User
2,2693,309,2023-01-18,546.68,User_2693,Pune,Regular,Restaurant_309,Indian,4.5,1,2023,Wednesday,High Spend,2,New User
3,2084,107,2023-07-15,163.93,User_2084,Chennai,Gold,Restaurant_107,Mexican,4.0,7,2023,Saturday,Low Spend,3,Returning User
4,319,224,2023-10-04,1155.97,User_319,Bangalore,Gold,Restaurant_224,Chinese,4.8,10,2023,Wednesday,Premium Spend,8,Loyal User
5,1064,293,2023-12-25,1321.91,User_1064,Pune,Regular,Restaurant_293,Italian,3.0,12,2023,Monday,Premium Spend,5,Returning User
6,2933,499,2023-07-12,1497.22,User_2933,Chennai,Regular,Restaurant_499,Mexican,4.9,7,2023,Wednesday,Premium Spend,4,Returning User
7,970,35,2023-05-30,129.21,User_970,Bangalore,Regular,Restaurant_35,Chinese,3.9,5,2023,Tuesday,Low Spend,3,Returning User
8,891,57,2023-11-07,269.19,User_891,Pune,Regular,Restaurant_57,Mexican,4.4,11,2023,Tuesday,Mid Spend,3,Returning User
9,364,7,2023-12-05,953.3,User_364,Chennai,Gold,Restaurant_7,Italian,3.2,12,2023,Tuesday,High Spend,5,Returning User
10,2972,183,2023-12-30,351.41,User_2972,Bangalore,Regular,Restaurant_183,Chinese,3.7,12,2023,Saturday,Mid Spend,5,Returning User
11,924,235,2023-12-10,523.82,User_924,Chennai,Regular,Restaurant_235,Italian,4.5,12,2023,Sunday,High Spend,1,New User
12,884,423,2023-10-27,1484.65,User_884,Pune,Gold,Restaurant_423,Indian,3.2,10,2023,Friday,Premium Spend,4,Returning User
13,1958,244,2023-08-11,216.59,User_1958,Chennai,Regular,Restaurant_244,Italian,4.3,8,2023,Friday,Mid Spend,6,Loyal User
14,364,112,2023-09-24,898.24,User_364,Chennai,Gold,Restaurant_112,Chinese,3.2,9,2023,Sunday,High Spend,5,Returning User
15,1733,383,2023-07-17,1098.41,User_1733,Pune,Regular,Restaurant_383,Indian,3.1,7,2023,Monday,Premium Spend,5,Returning User
16,1321,149,2023-07-17,475.74,User_1321,Pune,Gold,Restaurant_149,Mexican,3.6,7,2023,Monday,Mid Spend,2,New User
17,1896,421,2023-04-09,1002.51,User_1896,Pune,Regular,Restaurant_421,Indian,3.0,4,2023,Sunday,Premium Spend,2,New User
18,1617,414,2023-04-23,736.89,User_1617,Pune,Gold,Restaurant_414,Chinese,4.7,4,2023,Sunday,High Spend,2,New User
19,330,73,2023-12-27,392.59,User_330,Chennai,Regular,Restaurant_73,Mexican,3.1,12,2023,Wednesday,Mid Spend,6,Loyal User
20,2567,52,2023-02-03,362.01,User_2567,Bangalore,Gold,Restaurant_52,Mexican,4.9,2,2023,Friday,Mid Spend,7,Loyal User
21,1610,186,2023-08-13,743.68,User_1610,Pune,Regular,Restaurant_186,Indian,4.3,8,2023,Sunday,High Spend,2,New User
22,688,279,2023-07-12,507.82,User_688,Hyderabad,Gold,Restaurant_279,Italian,4.9,7,2023,Wednesday,High Spend,6,Loyal User
23,2640,83,2023-06-14,1025.36,User_2640,Bangalore,Gold,Restaurant_83,Chinese,3.5,6,2023,Wednesday,Premium Spend,10,Loyal User
24,2403,434,2023-01-22,412.5,User_2403,Pune,Gold,Restaurant_434,Italian,4.7,1,2023,Sunday,Mid Spend,5,Returning User
25,288,18,2023-06-07,147.9,User_288,Pune,Regular,Restaurant_18,Italian,4.5,6,2023,Wednesday,Low Spend,4,Returning User
26,2915,129,2023-12-24,933.31,User_2915,Chennai,Gold,Restaurant_129,Indian,4.1,12,2023,Sunday,High Spend,7,Loyal User
27,1056,399,2023-08-08,678.38,User_1056,Bangalore,Regular,Restaurant_399,Chinese,3.2,8,2023,Tuesday,High Spend,3,Returning User
28,2370,63,2023-03-23,900.74,User_2370,Bangalore,Regular,Restaurant_63,Italian,5.0,3,2023,Thursday,High Spend,4,Returning User
29,2905,115,2023-09-20,903.0,User_2905,Pune,Gold,Restaurant_115,Chinese,3.3,9,2023,Wednesday,High Spend,3,Returning User
30,2009,18,2023-04-23,996.26,User_2009,Chennai,Gold,Restaurant_18,Italian,4.5,4,2023,Sunday,High Spend,4,Returning User
31,1986,190,2023-04-03,199.16,User_1986,Bangalore,Regular,Restaurant_190,Chinese,3.1,4,2023,Monday,Low Spend,5,Returning User
